"Target","Source","n","Weight"
"","berniclrk",1,1
"","danielkcrossan",1,1
"","drmshlowe",1,1
"","pete_i9876",1,1
"","scrap_iron_ryan",1,1
"","suecrouthers",1,1
" a look at this . worth seeing. #covid19 #londonrealarmy #davidicke #beatthevirus #borisjohnson #davidicke #drshivaayyadurai #nevertrustchina #ve_shiva https","amanda30330551",1,1
" an old one but here's a video i did about londonfake, sorry #londonreal before the #davidicke stuff... here's #brianrose being a prize plum with his fake live webinars.. stick this in your pipe #londonrealarmy rt/share. https","mike_winnet",1,1
"_jammer_","_jammer_",1,1
"_jammer_","pcgonenuts",1,1
"_natashadevon","belfastunionist",1,1
"_natashadevon","cbrotheridge",1,1
"_natashadevon","ccdhate",1,1
"_natashadevon","gary_theobald",1,1
"_natashadevon","globalbizdynam1",1,1
"_natashadevon","guyclapperton",1,1
"_natashadevon","lauraha15799415",1,1
"_natashadevon","markwrightuk88",1,1
"_natashadevon","tonyjclay",1,1
"_natashadevon","trevorcmarshall",1,1
"_natashadevon","wepamela18",1,1
"_noveone_","rumpelwart",1,1
"_xkln","kairabai",1,1
"_xkln","tianaticklegz",1,1
"2bornt2blogical","faith19752",1,1
"2plusbraincells","_mrplayer_",1,1
"31012020ol","31012020ol",1,1
"3isdamagicnumba","rcbltn",1,1
"55krissi55","55krissi55",2,2
"55krissi55","andybird21",1,1
"55krissi55","bolshevik1953",1,1
"55krissi55","brucefutur1",1,1
"55krissi55","catheri82106796",1,1
"55krissi55","chunkypaulpaul",1,1
"55krissi55","libertyiab",1,1
"55krissi55","peterpobjecky",1,1
"55krissi55","s0nny_days",1,1
"55krissi55","shaututze",1,1
"55krissi55","wirral_innit",1,1
"5gawareness","electrosmogs",1,1
"777missjessica","margrainlynda",1,1
"777missjessica","zafirojones",1,1
"777mus777","hussainhaid",1,1
"80_mcswan","thesolargazer",1,1
"aadiskywalker","margare25683010",1,1
"aadiskywalker","munyah777",1,1
"aakinsella","janebennett65",1,1
"aakinsella","rachel_mishkin",1,1
"aakinsella","rainbowhereford",1,1
"aakinsella","simonmccarthy4",1,1
"activistalessa","edtvaimee",1,1
"activistalessa","exposing6644",1,1
"activistalessa","my90dayfatloss",1,1
"activistpost","al23311",1,1
"activistpost","bamberxerxes",1,1
"activistpost","berniclrk",2,2
"activistpost","bristolbeing",1,1
"activistpost","careisthekey",1,1
"activistpost","cymrutruther",1,1
"activistpost","j00liju",1,1
"activistpost","joyousb90",1,1
"activistpost","mighty_fly_",1,1
"activistpost","rpromitzer",1,1
"activistpost","sarahjennings01",1,1
"activistpost","shanqiueb",1,1
"activistpost","somethingswro11",1,1
"activistpost","strawbs14",1,1
"ad1987col","mickwilde1961",1,1
"adam_dot_p","adam_dot_p",1,1
"adam85505213","averdusa",1,1
"adam85505213","carlacortes",1,1
"adam85505213","mania_viral",1,1
"adambrimson","adambrimson",3,3
"adambrimson","mania_viral",1,1
"adamgarriereal","goosedancer",1,1
"adkinskirsty","adkinskirsty",1,1
"adpenu","backstopbetty",1,1
"ahmetgocer2","msanujohanna",1,1
"aidthompsin","aidthompsin",1,1
"aidthompsin","arobottookmyjob",1,1
"aidthompsin","fuckyeahldn",1,1
"aidthompsin","thepandariot",1,1
"akingnews #5gcoronavirus #fakenews #davidicke #covid19 #truefacts #realangel #truenews #mainstreammedia #حظر_كلي #rt #rm86 #rm #meistersblog #bloggers https","rajmeister",1,1
"alaantdon","alanste45321563",1,1
"alaantdon","glasgow_watch",1,1
"alanfreestone","bloody_scandal",1,1
"alanfreestone","lettingfocus",1,1
"alanfreestone","mchomeopath",1,1
"alanfreestone","ohnoyoudont6",1,1
"alanfreestone","sdumas1",1,1
"alanfreestone","tonygough9",1,1
"aldreneg","awaitinggaia",1,1
"aldreneg","desiderata66",1,1
"alexander_minh","alexander_minh",1,1
"alexandermat","iamrikasmith",1,1
"alistaircoleman","ivorgcampbell",1,1
"alistaircoleman","mittendazzle",1,1
"alistaircoleman","notwildaboutit",1,1
"alistaircoleman","peternimmo1",1,1
"alistaircoleman","resophonick",1,1
"alistaircoleman","sparkesmichael",1,1
"alistaircoleman","wildaboutit",1,1
"alt_kthopkins","andrewonseeair",1,1
"altcensored","russd365",1,1
"anarchobarista","anarchobarista",1,1
"anarchobarista","babygapesyouju1",1,1
"anarchyhell666","1950sjustice",1,1
"anarchyhell666","lynnmark6",1,1
"anarchyhell666","pxkdweezil",1,1
"anarchyhell666","stuzypoozy1",1,1
"anarchyhell666","thesearethedamn",1,1
"andrew_nolan","abzybabzy",1,1
"andrew_nolan","adamdobson1417",1,1
"andrew_nolan","adamrowecomedy",1,1
"andrew_nolan","bebackin20",1,1
"andrew_nolan","ben_stoner_",1,1
"andrew_nolan","brothprof",1,1
"andrew_nolan","candylo88099738",1,1
"andrew_nolan","caoimhin247",1,1
"andrew_nolan","coltcarl",1,1
"andrew_nolan","connor1980",1,1
"andrew_nolan","davers123",1,1
"andrew_nolan","dayramunoz3",1,1
"andrew_nolan","edrowett",1,1
"andrew_nolan","georgia_brown88",1,1
"andrew_nolan","grandaddrawing",1,1
"andrew_nolan","greekphotoguy",1,1
"andrew_nolan","hungriiihijabi",1,1
"andrew_nolan","idxntitycrisis",1,1
"andrew_nolan","indigofast",1,1
"andrew_nolan","jackgeorgelumb",1,1
"andrew_nolan","jamesfallon4",1,1
"andrew_nolan","jamwilkes",1,1
"andrew_nolan","jayen31",1,1
"andrew_nolan","jedi_werewolf",1,1
"andrew_nolan","keepersdaughter",1,1
"andrew_nolan","luzdluna",1,1
"andrew_nolan","mo_hassan81",1,1
"andrew_nolan","mustafafectosux",1,1
"andrew_nolan","ohnonotmrb",1,1
"andrew_nolan","philiplickley",1,1
"andrew_nolan","richywaspfan",1,1
"andrew_nolan","samclaflin",1,1
"andrew_nolan","samcuttah",1,1
"andrew_nolan","seanburkeshow",1,1
"andrew_nolan","shaunfagan91",1,1
"andrew_nolan","sladerhosen",1,1
"andrew_nolan","stephen34184311",1,1
"andrew_nolan","thedanford",1,1
"andrew_nolan","thischarmingmo",1,1
"andyfoxsmith","zodmaster9999",1,1
"andyse7en2000","machoricho",1,1
"angelinadalegm1","larvaesay",1,1
"angelojohngage","cymrutruther",1,1
"angelojohngage","rickinthewall",1,1
"angelojohngage","zander9899",1,1
"angelosbarry","ckdexterhaven68",1,1
"annaireneanna","blacklight_1997",1,1
"annaireneanna","davros300",1,1
"annaireneanna","faith19752",1,1
"annaireneanna","gracemurphy2",1,1
"annaireneanna","pattyuk2000",1,1
"annaireneanna","refocusbeing",1,1
"annaireneanna","slimsugar",1,1
"annmariebrown68","blackrainbow202",1,1
"annmariebrown68","greatwhite000",1,1
"annmariebrown68","gregs_photos_uk",1,1
"annmariebrown68","hafpastate",1,1
"annmariebrown68","iamswagodking",1,1
"annmariebrown68","janebennett65",1,1
"annmariebrown68","kagsxxxx",1,1
"annmariebrown68","kevinma17258201",1,1
"annmariebrown68","lanyihunter1",1,1
"annmariebrown68","lynnmark6",1,1
"annmariebrown68","mark_brown36",1,1
"annmariebrown68","pattyuk2000",1,1
"annmariebrown68","redpillmonster",1,1
"annmariebrown68","s0nny_days",1,1
"annmariebrown68","theoriginalfidz",1,1
"anwojcicki @rollingstone @youtube so youtube is part of fascism now! #enemyofthepeople ! #davidicke banned! #enemyofcivilrights ! https","at_jen321",1,1
"apocalypseos","s0nny_days",1,1
"artaxis","artaxis",2,2
"artmarijuana","2020wsm",1,1
"artmarijuana","dcreesy",1,1
"artmarijuana","emauboussin",1,1
"artmarijuana","letsgetbusyx",1,1
"atotalshunt","andyhixx",1,1
"atters1000","lupin_cagliostr",1,1
"atters1000","sith_elvis",1,1
"averdusa","jonblake1994",1,1
"averdusa","slimsugar",1,1
"awilliamscomedy","shanqiueb",1,1
"ayoscotland","dee45490051",1,1
"azitler","monkeyhungry",1,1
"banneddotvideo","ironmaidyn",1,1
"banneddotvideo","ishoshomusic",1,1
"banneddotvideo","plane2thet",1,1
"bbcnews","_godsfavorite_",1,1
"bbcnews","138efc",1,1
"bbcnews","567neil",1,1
"bbcnews","67duplex",1,1
"bbcnews","777mus777",1,1
"bbcnews","achetruth",1,1
"bbcnews","adamlangton1",1,1
"bbcnews","adeeyahx",1,1
"bbcnews","adrianbarker8",1,1
"bbcnews","alexbirrell1967",1,1
"bbcnews","alybondbespoke",1,1
"bbcnews","amazingflyer197",1,1
"bbcnews","artdreamtime",1,1
"bbcnews","authorwritereb",1,1
"bbcnews","backstopbetty",1,1
"bbcnews","banwalipuria",1,1
"bbcnews","blacklight_1997",1,1
"bbcnews","calayseangela",1,1
"bbcnews","chibs0007",1,1
"bbcnews","cityboyhamz",1,1
"bbcnews","clairelg17",1,1
"bbcnews","colourlinguist",1,1
"bbcnews","connorjarvis97",1,1
"bbcnews","curtisbarlow88",1,1
"bbcnews","d_iosan",1,1
"bbcnews","danilo_hunt",1,1
"bbcnews","derek_acorah",1,1
"bbcnews","educatingdonna",1,1
"bbcnews","edwardswain1",1,1
"bbcnews","ellepunzel",1,1
"bbcnews","emcscotlandhome",1,1
"bbcnews","eylesgeoff",1,1
"bbcnews","frizertizer",1,1
"bbcnews","ganais_anais",1,1
"bbcnews","gb_nationalist",1,1
"bbcnews","georginamariac2",1,1
"bbcnews","glitterwallsuk",1,1
"bbcnews","globerunner31uk",1,1
"bbcnews","golookgoread",1,1
"bbcnews","goodlujo",1,1
"bbcnews","gregs_photos_uk",1,1
"bbcnews","hafpastate",1,1
"bbcnews","heseltine17",1,1
"bbcnews","iamswagodking",1,1
"bbcnews","iamtommy2626",1,1
"bbcnews","ibotimur95",1,1
"bbcnews","indigo_crystals",1,1
"bbcnews","intuitivementor",1,1
"bbcnews","jackofin",1,1
"bbcnews","jamiem8991",1,1
"bbcnews","jamjarbinkz",1,1
"bbcnews","joeom4",1,1
"bbcnews","john_johnny1538",1,1
"bbcnews","johnsmi41737878",1,1
"bbcnews","jokerfleck2",1,1
"bbcnews","joyceeee77",1,1
"bbcnews","jubbshaun",1,1
"bbcnews","kaseycarrington",1,1
"bbcnews","kaydm49",1,1
"bbcnews","khanbrexit",1,1
"bbcnews","kippered17",1,1
"bbcnews","krizzee22",1,1
"bbcnews","labblackwomen",1,1
"bbcnews","largejack1000",1,1
"bbcnews","leaworrall",1,1
"bbcnews","leightonlewis4",1,1
"bbcnews","lesfloyd",1,1
"bbcnews","loosh_72a",1,1
"bbcnews","lubzben",1,1
"bbcnews","macetrain",1,1
"bbcnews","margrainlynda",1,1
"bbcnews","mariannebirkby",1,1
"bbcnews","mark_brown36",1,1
"bbcnews","markboylin",1,1
"bbcnews","markkershaw100",1,1
"bbcnews","markoneill04",1,1
"bbcnews","mcfadye3michael",1,1
"bbcnews","meandtheother3",1,1
"bbcnews","mediumdebyould",1,1
"bbcnews","mikerestorer",1,1
"bbcnews","mommawingingit",1,1
"bbcnews","morpheusthink",1,1
"bbcnews","mr2qannon",1,1
"bbcnews","mrmartin_author",1,1
"bbcnews","msanujohanna",1,1
"bbcnews","murilyn123",1,1
"bbcnews","myfreedomnews",1,1
"bbcnews","n33eej",1,1
"bbcnews","nicky67748488",1,1
"bbcnews","nickyc7475",1,1
"bbcnews","nikki_a_ed",1,1
"bbcnews","nlawler2012",1,1
"bbcnews","nmj25",1,1
"bbcnews","nuhsta",1,1
"bbcnews","p43bkx",1,1
"bbcnews","pattyuk2000",1,1
"bbcnews","paulajanemorri4",1,1
"bbcnews","petenjess666",1,1
"bbcnews","pettumbissum",1,1
"bbcnews","pinkyjangra",1,1
"bbcnews","plane2thet",1,1
"bbcnews","pxkdweezil",1,1
"bbcnews","qaskhan",1,1
"bbcnews","rainbowhereford",1,1
"bbcnews","rayveysey",1,1
"bbcnews","realityrose",1,1
"bbcnews","redpillgin",1,1
"bbcnews","risoco007",1,1
"bbcnews","rowenasolo",1,1
"bbcnews","ry_bahia",1,1
"bbcnews","s0nny_days",1,1
"bbcnews","s9tmt",1,1
"bbcnews","sciolism007",1,1
"bbcnews","seotipsntricks",1,1
"bbcnews","shakazu88263565",1,1
"bbcnews","shellthomson",1,1
"bbcnews","southsideofmcr",1,1
"bbcnews","spaceninjauk",1,1
"bbcnews","specialgstars",1,1
"bbcnews","ssjsimran",1,1
"bbcnews","stephenfoxhq",1,1
"bbcnews","stugraders",1,1
"bbcnews","tanya47927230",1,1
"bbcnews","tatbbfar",1,1
"bbcnews","thehangingman_",1,1
"bbcnews","themindsculpter",1,1
"bbcnews","theoriginalfidz",1,1
"bbcnews","thespread9",1,1
"bbcnews","thisisdaniellef",1,1
"bbcnews","tom25836946",1,1
"bbcnews","tornadonewslink",1,1
"bbcnews","tracyicq",1,1
"bbcnews","truthhunter1969",1,1
"bbcnews","tthoughtshifter",1,1
"bbcnews","uk_hifi",1,1
"bbcnews","uzuri_london",1,1
"bbcnews","vr46mc58",1,1
"bbcnews","woldslinx",1,1
"bbcnews","wulba",1,1
"bbcnews","xkeepsmilinx",1,1
"bbcnews","yesitstomm",1,1
"bbcnews","yunglonemusic",1,1
"be_bites","ganais_anais",1,1
"be_bites","ladytyke49",1,1
"beardy_weirdy7","the1stcoco",1,1
"bencockayne83","ztrikz",1,1
"berationable","dangelangello",1,1
"bez___","dazharmer",1,1
"bigreegs1985","bigreegs1985",1,1
"bill_owen","raiya_zak",1,1
"billgates","alankey64316364",1,1
"billyballot","samuelbuttner1",1,1
"blacklight_1997","samuelbuttner1",1,1
"blackmirror1776","coughetycough",1,1
"blackmirror1776","mogg0007",1,1
"bleakgarden","scarletslady1",1,1
"blendit2gether","helen_kopec",1,1
"blendit2gether","jjstarfish33",1,1
"blendit2gether","lynnmark6",1,1
"blendit2gether","namesoflondon",1,1
"blendit2gether","wjokersattack",1,1
"bloggerheads","arunmehtashow",1,1
"bloggerheads","brianpaget",1,1
"bloggerheads","fluffiesforlife",1,1
"bloggerheads","plingetheelder",1,1
"blueeyestc","ellen0891",1,1
"bradtheriot","ckbacookann",1,1
"bremaininspain","anubeon",1,1
"bremaininspain","bmarks45btinter",1,1
"bremaininspain","davidqhog",1,1
"bremaininspain","mickl13rd",1,1
"bremaininspain","redgreenaction",1,1
"bremaininspain","roberthopkins59",1,1
"bremaininspain","tomsingleton4",1,1
"brexitmeansbr14","stevenb88842565",1,1
"briancartoon","nightsiren",1,1
"briancartoon","oxfordcolin",1,1
"briancartoon","procartoonists",1,1
"briancartoon","wilberforcepike",1,1
"brianwoodywood","amgc369",1,1
"bronsoncharley","tthoughtshifter",1,1
"bryndennis","19irishdragon",1,1
"bryndennis","a_troglodist",1,1
"bryndennis","acatcalledkeith",1,1
"bryndennis","aintseenmeright",1,1
"bryndennis","akahnr",1,1
"bryndennis","alec_eiffel85",1,1
"bryndennis","alexhitchins",1,1
"bryndennis","alsyclarke",1,1
"bryndennis","amanda_rej",1,1
"bryndennis","amystirling86",1,1
"bryndennis","anarchobarista",1,1
"bryndennis","andrewbones",1,1
"bryndennis","anewbandaday",1,1
"bryndennis","angryjogger",1,1
"bryndennis","anyaszczytowska",1,1
"bryndennis","ausomecharlie",1,1
"bryndennis","azrael2393",1,1
"bryndennis","badwisdom523",1,1
"bryndennis","bassdubware",1,1
"bryndennis","becigrey",1,1
"bryndennis","benheaton",1,1
"bryndennis","binx722",1,1
"bryndennis","blckb34rd",1,1
"bryndennis","bleo1984",1,1
"bryndennis","borderman67",1,1
"bryndennis","bossklad",1,1
"bryndennis","burnmarks1962",1,1
"bryndennis","bushqueenzo",1,1
"bryndennis","c8lindonnelly",1,1
"bryndennis","captstubble",1,1
"bryndennis","cariaddraig",1,1
"bryndennis","carlamairead",1,1
"bryndennis","carlos_adama",1,1
"bryndennis","caroline_gold",1,1
"bryndennis","carpenterdf",1,1
"bryndennis","charlesthinking",1,1
"bryndennis","charliex0x0",1,1
"bryndennis","chewystuey",1,1
"bryndennis","chriswrowell",1,1
"bryndennis","clarey_m_fairy",1,1
"bryndennis","clippz",1,1
"bryndennis","clownf1st",1,1
"bryndennis","cmqueen",1,1
"bryndennis","coleman83avfc",1,1
"bryndennis","comrademillsy",1,1
"bryndennis","councillortudor",1,1
"bryndennis","cst1893",1,1
"bryndennis","dan__foster",1,1
"bryndennis","daniel64990147",1,1
"bryndennis","darrenfearnley",1,1
"bryndennis","darrenjseward",1,1
"bryndennis","darrenob",1,1
"bryndennis","dava73",1,1
"bryndennis","dave_porter45",1,1
"bryndennis","davidmburke",1,1
"bryndennis","daz_tazer",1,1
"bryndennis","dazedbee",1,1
"bryndennis","dazzyjef",1,1
"bryndennis","dean0909",1,1
"bryndennis","deanbromley",1,1
"bryndennis","deathwishdrang",1,1
"bryndennis","deboo1deboo",1,1
"bryndennis","debsetts",1,1
"bryndennis","dineshfernando",1,1
"bryndennis","dmdoran11",1,1
"bryndennis","doiknowmyself",1,1
"bryndennis","donkey_walloppa",1,1
"bryndennis","dp911",1,1
