"Target","Source","n","Weight"
"","angeladrummond",1,1
"","caledoniankitty",1,1
"","cihanmervekara1",1,1
"","delightginger",1,1
"","dimmosgeeknd",3,3
"","ethica11y_vegan",2,2
"","guirivaud",1,1
"","iamfrankbutcher",2,2
"","jameschanner_id",1,1
"","kellyclelland1",1,1
"","micailic0mica",1,1
"","mikebates04",1,1
"","misskellypayne",1,1
"","mrsverypicky",1,1
"","phil_neilsen",1,1
"","plagued_uk",1,1
"","planetponzi",1,1
"","poppyoflondon",1,1
"","realcharliec_",1,1
"","realchasmartell",1,1
"","senior_debra",9,9
"","sukyspook",1,1
"","theprophetv",1,1
"","tradeflooraudio",1,1
" #worldhealthorganisation #myths #coronavirusuk #covid2019 please rt @parveenhwl @hwleeds https","volunteeringhwl",1,1
" are #not #invincible’","cgh54",1,1
" check update","my_amigouk",1,1
" declares that coronavirus crisis is now a #pandemic #coronavirus #tedrosadhanomghebreyesus https","karimraffa",1,1
" myths","templetonapus",1,1
" of wonder ","rl50031",1,1
" pm johnson's adviser cummings isolating with #coronavirus symptoms full article","templetonapus",1,1
" possible to #determine’ exact #origins of #covid_19, but available #evidence points to #animal source – #who — rt world news https","cgh54",1,1
" praises #china’s ‘strong action’ to #quarantine 11mn in #wuhan as outbreak kills 17, with 95 critical — rt world news https","cgh54",1,1
" research findings","templetonapus",1,1
" says f1 innovation’s dead? – mp354 - watch>> https","strikeengine",1,1
" study results","templetonapus",1,1
" surgisphere rolls out rapid diagnostic test for covid-19 full article","templetonapus",1,1
" trace the development of the theory that #covid19 #coronavirus was lab-made","corvirusnews",1,1
" tweeting again! what a real legend alexashmore95 is... rt davidmackayy","fakeatothejay",1,1
" vaccine","templetonapus",1,1
"__michaelpowell","edinburghwatch",1,1
"__ogmog","purbrickharriet",1,1
"_00111111_","scottryansafc",1,1
"_all41and14all","aev1609",1,1
"_all41and14all","cuntyballz",1,1
"_all41and14all","lemoncake1961",1,1
"_all41and14all","meduse17b",1,1
"_all41and14all","megbenitez",1,1
"_all41and14all","tczen",1,1
"_atanas_","1sofiaking",1,1
"_atanas_","butterfly_o",1,1
"_atanas_","castldalmunzie",1,1
"_atanas_","cwchs_science",1,1
"_atanas_","daninava",1,1
"_atanas_","drrbrassington",1,1
"_atanas_","ek_gus",1,1
"_atanas_","eleniangel3",1,1
"_atanas_","halfeatenmind",1,1
"_atanas_","hamza_moghari",1,1
"_atanas_","kingston_v",1,1
"_atanas_","ladybird5477",1,1
"_atanas_","macnahlhoney",1,1
"_atanas_","nikolausbaker",1,1
"_atanas_","perkins60",1,1
"_atanas_","philrandal",1,1
"_atanas_","ppieglobal",1,1
"_atanas_","s_ordibehesht",5,5
"_atanas_","shrabonighosal",2,2
"_atanas_","ukharpists",1,1
"_atanas_","vundi_dr",1,1
"_bct_","byronmurphy8",1,1
"_beyondnations","_beyondnations",1,1
"_brian_hunter","ajukes69",1,1
"_brian_hunter","andys_64",1,1
"_brian_hunter","anniet6866",1,1
"_brian_hunter","artemitzi",1,1
"_brian_hunter","bakehousebar",1,1
"_brian_hunter","birdonthewire3",1,1
"_brian_hunter","bizthebuz",1,1
"_brian_hunter","blog7o7lol",1,1
"_brian_hunter","brexposedu",1,1
"_brian_hunter","buntybagshoe",1,1
"_brian_hunter","carbonsaveruk",1,1
"_brian_hunter","chriscantyphoto",1,1
"_brian_hunter","decdently_sweet",1,1
"_brian_hunter","derekmeers",1,1
"_brian_hunter","drapekin",1,1
"_brian_hunter","enviroman57",1,1
"_brian_hunter","fightinggran",1,1
"_brian_hunter","geziwoman",1,1
"_brian_hunter","glaikitgit",1,1
"_brian_hunter","holmesgray",1,1
"_brian_hunter","invicta525",1,1
"_brian_hunter","janet_beale",1,1
"_brian_hunter","jasadine",1,1
"_brian_hunter","jennyfurfuls",1,1
"_brian_hunter","joannejolilley",1,1
"_brian_hunter","journokeith",1,1
"_brian_hunter","kalibilli",1,1
"_brian_hunter","kettlewellcraig",1,1
"_brian_hunter","kingoftheducks",1,1
"_brian_hunter","koffeelover41",1,1
"_brian_hunter","likegold8",1,1
"_brian_hunter","lindasandelll",1,1
"_brian_hunter","lizad0little",1,1
"_brian_hunter","lusbynigel",1,1
"_brian_hunter","magapanthus",1,1
"_brian_hunter","mandajaa",1,1
"_brian_hunter","margaretdunne13",1,1
"_brian_hunter","marionste",1,1
"_brian_hunter","markedonlabour",1,1
"_brian_hunter","minjas_zugik",1,1
"_brian_hunter","modernleftie",1,1
"_brian_hunter","nancyke71102175",1,1
"_brian_hunter","neonluvbar",1,1
"_brian_hunter","pacrosthwaite",1,1
"_brian_hunter","pamaro25",1,1
"_brian_hunter","pheromoneevo",1,1
"_brian_hunter","rmjewell",1,1
"_brian_hunter","rose_monarch",1,1
"_brian_hunter","ross_jordan",1,1
"_brian_hunter","sazjonem",1,1
"_brian_hunter","shazied",1,1
"_brian_hunter","sheepygreen",1,1
"_brian_hunter","steffanymr",1,1
"_brian_hunter","stilton54",1,1
"_brian_hunter","stousee",1,1
"_brian_hunter","sueberry9",1,1
"_brian_hunter","tczen",1,1
"_brian_hunter","tezzerk54",1,1
"_brian_hunter","tomhancock2916",1,1
"_brian_hunter","tristramwyatt",1,1
"_brian_hunter","vincecastells",1,1
"_brian_hunter","yellowreverie",1,1
"_cohenhatton exactly sab🏴󠁧󠁢󠁷󠁬󠁳󠁿great 2 see u rt this #who msg sab-one of my inspirations is #warrenmeek @pharming_48 a #pharmacist🇨🇦 with global reach🌍🌏🌎@fip_org warren-sab's book is inspirational⬇️ & a @cardiffuni fellow too you 2 will get on if u ever meet👍👊 all in this together eg💊🚒 https","johndn",1,1
