"Target","Source","n","Weight"
"","2013boodicca",1,1
"","andrews78530059",1,1
"","andysugs",8,8
"","blythe_93",1,1
"","ciscowill",1,1
"","clare09536763",21,21
"","cyberdigitaltec",1,1
"","dazharmer",1,1
"","ggg_by_lia",1,1
"","grabritain",1,1
"","marcopark21",1,1
"","oak77uk",1,1
"","realnewsukalt",2,2
"","realnewsukintnl",1,1
"","stephenpcpd",1,1
"","theprophetv",2,2
" #5g now! stop #5g now!! stop #5g now #stop5gnow #stop5gnow @borisjohnson @realdonaldtrump @nhsuk @matthancock @royalfamily @vonderleyen @rtuknews @bbcbreaking @ft @telegraph @peston @barbaramck42 @caitoz @piers_corbyn @elleprovocateur @offguardian0 https","2013boodicca",1,1
" #edgecomputing kill the cloud? @ems_andrew from @ems_connections analyses the role of edge computing and edge #ai plus its use in #5g networks and impact on cloud computing - part of our #connectivityforall campaign week","techuk",1,1
" are what our clients believe you should expect ahead of this year's edition of the biggest mobile industry show, mwc! @gsma if you're there, let us know so we can arrange a time to meet! #mwc20 @neucodan @laurieneuco #connectivity #barcelona #5g https","neucotom",1,1
" charcoal💊 ✅helps support detoxification ✅helps support protection of cells against free radicals ✅helps support the body's natural ph balance ✅certified #vegan by @thevegsociety ✅only £10.00 for 30 day supply 🛒https","gandgvits",1,1
" has been said about the uk’s #5g future, but without the underlying #network infrastructure in place, mnos could face the costly and complex task of rolling it out solo. download our report to see how we can help you with your 5g needs","ssetelecoms",1,1
" joins #smartafricaalliance to help reduce the cost of #roaming in #africa https","teresacottam",1,1
" out how next-generation #5g networks can transform organisations, with real-time #ai and accelerated response times. read more in the blog article from @ibm","thuddless",1,1
" read what is the #internetofthings? a @wired guide https","karimraffa",1,1
" successful cricketing captain ever... like ❤ #rickyponting rt 🔁 #viratkohli #virat #5g #ausvsa #indvsnz https","avengerz82",1,1
" technicalities of the #5g genocidal crime on the people is starting to pick up in the main stream media - the cover up is falling to pieces and justice is coming now is the time to speak out and go on the offensive' ... anthony steele https","joeom4",1,1
