"Target","Source","n","Weight"
"","dimmosgeeknd",2,2
"","felix_ninelives",1,1
"","iamfrankbutcher",2,2
"","mrmonster25",1,1
"","peterfranks69",2,2
"","samelliot",1,1
"","sapiofoxy",2,2
"","sukyspook",12,12
"","theprophetv",1,1
"","turboriderz",1,1
"","weeshady1",1,1
" #q #qanonposts was totally spot on about one thing","sukyspook",1,1
" gates bbc interview/ vaccine for 7 billion people causes outrage wi... https","shackviral",1,1
" i myself and other health experts? unchallenged by crap #bbc journalist? presenter #billgates thinks he's a #medicalhealthexpert bill also indicated","nonedisclosed",1,1
" in case you haven't yet, please watch doctors in black","gatesanti",1,1
" night with benita - bill and melinda gates vaccine part 1 - 17/04/2020 bill and melinda gates vaccine controversy in africa and all you need to know about the covid-19 vaccination plan https","benitaowobi",1,1
" on earth is #billgates going to say to god on judgement day??????? https","tenantactivist",1,1
"___j___jay","celticgal74",1,1
"___j___jay","dimmosgeeknd",1,1
"___j___jay","omshanti1504",1,1
"__anonymous__q","bamazing9",1,1
"__anonymous__q","bristolfreegle",1,1
"_awake_soul_","sukyspook",1,1
"_bochaberi","blogsjay",1,1
"_d_a_n_i_e_l__b","willyboykent",1,1
"_heyholmes","behalalorg",1,1
"_heyholmes","charlotte3003g",1,1
"_heyholmes","lindal16",1,1
"_heyholmes","mediumdebyould",1,1
"_heyholmes","mummygirl",1,1
"_heyholmes","plane2thet",1,1
"_heyholmes","pxkdweezil",1,1
"_kevin_dela","kheatherbrown",1,1
"_kevin_dela","realistofficial",1,1
"_kevin_dela","ste7e7",1,1
"_migueljaimes69","chuxley4368",1,1
"_migueljaimes69","dannymc81024043",1,1
"_miss_isis_","mikerestorer",1,1
"_qmemes","bee42681881",1,1
"_qmemes","goneinawhisper",1,1
"_whiterabbitt_","alankey64316364",1,1
"_whiterabbitt_","crusaderanon1",1,1
"_whitneywebb","agobsmack",1,1
"_whitneywebb","s0nny_days",1,1
"0_politics2","barbwire654",1,1
"0_politics2","mssassysally",1,1
"0rwellian1984","chicoo19",1,1
"0rwellian1984","cymrutruther",1,1
"0rwellian1984","djpickup1980",1,1
"0ussama_ait","gott_james",1,1
"0utsid3thebox","secretnstrange9",1,1
"10downingstreet","mr_cm_burns_",1,1
"1111azgirlie","willwat14922206",1,1
"11i7am1","simonrhodes74",1,1
"11luv777","mikecross53",1,1
"17emeraldroses","13lxx",2,2
"17emeraldroses","7ootep",1,1
"17emeraldroses","apetry2019",1,1
"17emeraldroses","ashmanno83",1,1
"17emeraldroses","bcaligirl20",1,1
"17emeraldroses","cryptoleccose",1,1
"17emeraldroses","iceni_rising",1,1
"17emeraldroses","jenninemorgan",4,4
"17emeraldroses","karenbath3",1,1
"17emeraldroses","katecar84611017",1,1
"17emeraldroses","manicmineruk101",1,1
"17emeraldroses","nash64607571",1,1
"17emeraldroses","omarfromuk",1,1
"17emeraldroses","paddyq2020",1,1
"17emeraldroses","parisrlecky",1,1
"17emeraldroses","realyeddy",1,1
"17emeraldroses","tinalstephenson",7,7
"17emeraldroses","whitespacer",1,1
"17emeraldroses","whywhocares2",1,1
"17thops","boblovesliberty",1,1
"17thops","energyrocks1",1,1
"17thops","hackedoff_voter",1,1
"17thops","johnsmi40793660",1,1
"17thops","thedeadmediums",1,1
"1984andrew1984","meeksisglen",1,1
"1984andrew1984","rayungerer",1,1
"1984news_","darshanashah",1,1
"1984news_","frwikinson",1,1
"1984news_","royinka",1,1
"1kilroywashere","dorset_eye",1,1
"1marchella","cl4ymore1314",1,1
"1marchella","dtierre",1,1
"1marchella","eyezopenwidenow",1,1
"1marchella","fionapanc",1,1
"1marchella","iamfrankbutcher",1,1
"1marchella","ian56789",1,1
"1marchella","johnaalogan",1,1
"1marchella","jonathanlea",1,1
"1marchella","julieannmaugha2",1,1
"1marchella","khalidmh77",1,1
"1marchella","mac_phearsain87",1,1
"1marchella","markvaccines",1,1
"1marchella","markweightman",1,1
"1marchella","mojoenvy",1,1
"1marchella","saharrouhani",1,1
"1marchella","shadowwarrior30",1,1
"1marchella","successfuel3",1,1
"1marchella","warekatielamb01",1,1
"1marchella","wotan999",1,1
"1naasty","katyjo123",1,1
"1virtualpixie","trumpsterjoe",1,1
"2013boodicca","2013boodicca",1,1
"2013boodicca","bimarchservices",1,1
"2013boodicca","briannacelegill",1,1
"2013boodicca","gmseed_t",1,1
"2013boodicca","krizzee22",1,1
"2013boodicca","markant72",1,1
"2013boodicca","neoncthulhu",1,1
"2013boodicca","poetblue",1,1
"2013boodicca","razza_36",1,1
"2013boodicca","reeev0",1,1
"2013boodicca","singularity69",1,1
"2013boodicca","theprophetv",1,1
"21stshelter","dmfotoni",1,1
"21wire","_inthistogether",7,7
"21wire","_kondinho",1,1
"21wire","1_azania",1,1
