"Target","Source"
"medical_xpress","ayo_toye"
"lotusoak2","maxmedieval"
"veganearther","as_borat"
"gv_art","artbyjaxx"
"lotusoak2","bellhappe"
"lotusoak2","bellhappe"
"warnuse","bigbob2k14"
"lotusoak2","hillclime"
"lotusoak2","jenninemorgan"
"itsmedazx","rosie934"
"lotusoak2","jenninemorgan"
"lotusoak2","johnburdett20"
"lotusoak2","missmim12386042"
"lotusoak2","johnburdett20"
"lotusoak2","johnburdett20"
"lotusoak2","johnburdett20"
"lotusoak2","johnburdett20"
"lotusoak2","johnburdett20"
"lotusoak2","johnburdett20"
"recherche_anima","eara_fr"
"lotusoak2","markvaccines"
"lotusoak2","markvaccines"
"fthetories","fooledbysecrecy"
"lotusoak2","markvaccines"
"lotusoak2","markvaccines"
"avoiceforchoice","richarddeyn"
"globaltimesnews","sajjadkhan815"
"4040rec","pharmafield"
"the_nhsa","leedsahp"
"leversjane","profsarahcowley"
"medical_xpress","federicobernuzz"
"the_nhsa","willboltontiger"
"maxplanckpress","naomiattar"
"lotusoak2","my90dayfatloss"
"li_baorong","kaorislatex"
"the_nhsa","lasbteast"
"the_nhsa","tweetsbymsp"
"lotusoak2","kindamuslim"
"imperialcollege","edmondsonmary"
"nfanget","nfanget"
"danrodmanjones","safesurfacesci"
"nfanget","nfanget"
"kareem305king","usefulinfo101"
"traffordbiz","altrinchamconn1"
"traffordbiz","mcrconnected"
"marlinfeldspar","intelligy"
"lotusoak2","charlotte3003g"
"fitzinfo","markmak1965"
"imperialcollege","shear_ssc"
"urylle","airdriedsausage"
"lotusoak2","andrewmorrisuk"
"the_nhsa","interfurnuk"
"nextgenstock","computerbux"
"nextgenstock","computerbux"
"sbsated","scienceuoe"
"a_bettter","andrewmorrisuk"
"chrisccummins","leonfdelcanto"
"newsaspect","rafali1972"
"the_nhsa","parejacebrian"
"sbsated","ktn_synbiosig"
"oneinamerica","hmatimcole"
"sbsated","corbicula1"
"the_nhsa","gmclifesciences"
"oxfordbrc","ouh_research"
"nihrresearch","nihrcrn_tvsm"
"catapult_uk","hvm_catapult"
"nihrresearch","kbloor"
"nihrresearch","gmneuroalliance"
"nihrresearch","nihr_rds"
"nihrresearch","paulasharratt"
"lshtm","lpmhealthcare"
"lshtm","ukcovid19"
"nihrresearch","barbarablaney"
"lotusoak2","yo2kris"
"nihrresearch","oxpsychiatry"
"lotusoak2","cathycathyfox"
"nihrresearch","crn_wmid"
"ksehmi5","iapovoice"
"nihrresearch","laurarooney2302"
"maxplanckpress","zhoudejian"
"nihrresearch","nihrcrneastern"
"jimbethell","anortcliffe"
"sormiou12","jenninemorgan"
"nihrresearch","cpft_research"
"lotusoak2","homeopathyb"
"lotusoak2","homeopathyb"
"lotusoak2","homeopathyb"
"nihrresearch","amandaa75409531"
"ryzldn","nervyscientist"
"nihrcommunity","copronorfolk"
"nihrresearch","matthewrbroome"
"nihrcommunity","barneyuob"
"nihrresearch","nuthresearch"
"nihrcommunity","gianthealthevnt"
"lshtm","jmartin700"
"lotusoak2","andrewmorrisuk"
"lotusoak2","gerrydoherty16"
"lotusoak2","andrewmorrisuk"
"lotusoak2","andrewmorrisuk"
"nihrresearch","baltruks"
"nihrresearch","anmari_russell"
"nihrresearch","eleanor_mitch"
"the_nhsa","yorkshireunis"
"picphysicians","tartanspartan01"
"nihrresearch","wallbankruth"
"lotusoak2","andrewmorrisuk"
"lotusoak2","andrewmorrisuk"
"medtech_laforge","jacobussystems"
"the_eara","animalresearch"
"fitzinfo","karadja_rou"
"fitzinfo","karadja_rou"
"oxfordbrc","traymca"
"nihrresearch","erdempulcu"
"lotusoak2","maxmedieval"
"sartoriusglobal","shirazziya"
"lotusoak2","bloody_scandal"
"lotusoak2","bloody_scandal"
"busydrt","sorenstirling"
"nihrresearch","debbcam66"
"lotusoak2","cryptchopper"
"uniofreading","benjaminsidor18"
"lotusoak2","andrewmorrisuk"
"lotusoak2","andrewmorrisuk"
"epmscientific","lfrolim"
"nihrresearch","impala_nihr"
"nihrresearch","klouisewood"
"lotusoak2","kathy40036059"
"lotusoak2","robertk17735194"
"lotusoak2","tartanspartan01"
"drthomaspaul","andrewmorrisuk"
"nihrresearch","stirrup_sarah"
"nihrresearch","andygumley"
"nihrresearch","aisling68242736"
"techpearce2","techpearce2"
"nihrresearch","clifford0584"
"nihrresearch","suestockdale1"
"nihrresearch","glasgowcrf"
"nihrresearch","kath_mackay"
"russiaun","mbilbasen"
"lotusoak2","agobsmack"
"bennydevitoben","eq_addict"
"nihrresearch","drewnorth1"
"fitzinfo","burnera94522485"
"lotusoak2","markoneill04"
"nihrresearch","jowilliams1956"
"nihrresearch","richmon1984"
"nihrresearch","suereviews"
"nihrresearch","drabarnesfipem"
"lotusoak2","johnburdett20"
"mwooosh","usefulinfo101"
"godlessengineer","usefulinfo101"
"qblueskyq","tom_tom78"
"lotusoak2","carldevitt"
"lotusoak2","tinalstephenson"
"lotusoak2","bellhappe"
"lotusoak2","jordiarjo"
"lotusoak2","leighj2k20"
"lotusoak2","pxkdweezil"
"ladynthedesert","no6_theprisoner"
"2013boodicca","pxkdweezil"
"ladynthedesert","no6_theprisoner"
"jerusalem_post","scaramokeo"
"jerusalem_post","motahani"
"nihrresearch","researchwalsall"
"nihrresearch","sharon60117059"
"lotusoak2","dantomlom2"
"nihrresearch","nrs_idm"
"lotusoak2","up_the_empire"
"nihrresearch","sglocky"
"nihrresearch","scphrp"
"chinadaily","yubraj_koirala"
"tribuneblogs","naveed1904"
"qblueskyq","welshcelt"
"nihrresearch","cwsbattersby"
"lotusoak2","aeghan"
"lotusoak2","aeghan"
"lotusoak2","chriscarson54"
"nihrresearch","nihr_rdslondon"
"britsocimm","cerifielding"
"lotusoak2","aeghan"
"britsocimm","helencooksley"
"nihrresearch","cemorgan"
"nihrcommunity","ncaresearchnhs"
"britsocimm","inthwaiteimmune"
"lotusoak2","les_77love"
"scibus","benwilsons"
"novuscomms","brand_uk"
"britsocimm","iiiglasgow"
"novuscomms","alan__green"
"novuscomms","brandmulticomms"
"lotusoak2","hillclime"
"lotusoak2","hillclime"
"britsocimm","live_iiiglasgow"
"chinadaily","paulpaul49"
"britsocimm","intvetvaccnet"
"chinadaily","vanillaweb"
"lotusoak2","hillclime"
"uniofreading","remitailleux"
"nihrcommunity","leicesterbrc"
"britsocimm","drjwallis"
"britsocimm","ella_mercer1"
"britsocimm","eleniangel3"
"britsocimm","eleniangel3"
"britsocimm","crgglasgow"
"nihrresearch","gilliancay"
"britsocimm","wcipglasgow"
"britsocimm","gavins_mill"
"hannahrsharpe14","kandiiza"
"lotusoak2","1002loola"
"nihrresearch","isrctn"
"chinadaily","robinpaulinman"
"britsocimm","profandrewmac"
"nihrresearch","a0c0k"
"britsocimm","antonypsarras"
"nihrresearch","vivolution"
"lshtm","ejevlpm"
"sheenaparish","hillclime"
"britsocimm","kjasteel"
"chinadaily","wisdom_hub"
"lotusoak2","budge1982"
"schestowitz","glynmoody"
"nihrresearch","rcpch_ta"
"amrc","cureparkinsonst"
"amrc","drmatthewl"
"amrc","erichewittleeds"
"nihrresearch","emma_k_lowe"
"lotusoak2","cathycathyfox"
"britsocimm","eberlmat"
"erika_aqu1no","lisawhittaker02"
"mattchapmanktn","kateyarrington"
"britsocimm","coffeltlab"
"britsocimm","immunogenetix"
"britsocimm","hayitsabi"
"nihrresearch","nwamb_research"
"lotusoak2","offstretcher"
"abulad1","___muktar"
"godlessengineer","doctaosiris"
"nihrcommunity","laurenpramsey"
"britsocimm","sarah_s_gee"
"lshtm","arctec_lshtm"
"godlessengineer","doctaosiris"
"nihrresearch","melissabovis"
"britsocimm","autoimmunitybsi"
"lotusoak2","ant_vol_22"
"godlessengineer","doctaosiris"
"chinadaily","maurlind"
"lotusoak2","happyhome_2012"
"sbsated","synthsysed"
"britsocimm","jennafgritzfeld"
"britsocimm","rashmismruti"
"ro_hew","laurenbowes"
"chinadaily","realdavedoubleu"
"nfanget","nfanget"
"sbsated","synthsysed"
"robertkennedyjr","prophetscotland"
"nfanget","nfanget"
"lotusoak2","andrewmorrisuk"
"jennerinstitute","thelugonja"
"britsocimm","louisakjames"
"jennerinstitute","suzieee"
"lotusoak2","cgexrp"
"britsocimm","eolanhealy"
"britsocimm","robsomtaylor"
"louisakjames","britsocimm"
"louisakjames","frozenwarning"
"jennerinstitute","keitoxford"
"lotusoak2","mikerestorer"
"ro_hew","lolaoriowo"
"imperialcollege","dudadlk"
"lotusoak2","andrewmorrisuk"
"lotusoak2","andrewmorrisuk"
"britsocimm","vickie_curtis"
"any new or existing customers that need advice with sample prep, isolation, harvesting, purification or batch processing of biomaterial beckman coulter @bcilifesciences are very much open for business #vaccine #purification #isolation #harvesting #batchprocessing #21cfrpart11 https","mikekburns"
"louisakjames","cerifielding"
"jennerinstitute","kadooriecentre"
"britsocimm","neilemccarthy"
"ro_hew","aishajimoh"
"ro_hew","prjournorequest"
"britsocimm","bsi_immunomet"
"lotusoak2","bamberxerxes"
"lotusoak2","andrewmorrisuk"
"bactivax","daltmann10"
"hannahrsharpe14","hackneyglyn"
"lotusoak2","andrewmorrisuk"
"lotusoak2","andrewmorrisuk"
"highlife999","ellen0891"
"britsocimm","scales_hannah"
"lotusoak2","plane2thet"
"britsocimm","jpaton84"
"britsocimm","harkerimmuno"
"britsocimm","aliceroselyn"
"lotusoak2","candtalan"
"britsocimm","london_immuno"
"lotusoak2","royhull1"
"jennerinstitute","sandyddouglas"
"maini_lab","uclinfectimm"
"lotusoak2","andrewmorrisuk"
"w @edctp supported clinical trial is bringing together partners from all over the world to test a new #vaccine against #tb and #mdrtb. a great example of global partnership and collaboration to #endtb more info","resultsuk"
"ragoninstitute","debthewise"
"britsocimm","imperialmdr"
"britsocimm","imperialnhli"
"lotusoak2","shoutyshouty1"
"bactivax","networkvalidate"
"britsocimm","eberllab"
"britsocimm","ighliverpool"
"end_thefederalr","littleglob1"
"london_immuno","jennerinstitute"
"britsocimm","bugsinyourguts"
"indbio","portfoliowoman"
"britsocimm","_yzlab"
"health_cong20","dralaaakarim"
"mattchapmanktn","ruthmckernan"
"britsocimm","edinburghimmuno"
"jimbethell","huwsayer"
"mattchapmanktn","huwsayer"
"mattchapmanktn","huwsayer"
"jimbethell","huwsayer"
"busydrt","bloody_scandal"
"britsocimm","bellhousenews"
"alliancebeam","drlloyd_p"
"britsocimm","immuno_wm"
"alliancebeam","nataliegrover"
"djdavidsonlab","britsocimm"
"britsocimm","labcold"
