"Target","Source","n","Weight"
"_anthonysb_","alancane604",1,1
"_anthonysb_","allofusagree",1,1
"_anthonysb_","littlefroggie3",1,1
"_brian_hunter","bakehousebar",1,1
"_brian_hunter","pheromoneevo",1,1
"_brian_hunter","tristramwyatt",1,1
"_brontelouise_","adrianjohns",1,1
"_ekababy","simplysarita24",1,1
"_proud_american","nanner555",1,1
"_proud_american","papaschu1",1,1
"021matthews","021matthews",5,5
"021matthews","janie_st_k",1,1
"155thmed","msyoung2222",1,1
"1taiwantalk","1taiwantalk",1,1
"2013boodicca","2013boodicca",1,1
"2013boodicca","heppleshelley",1,1
"3days3nights","2dsea11",1,1
"3days3nights","5b20be6386164f8",1,1
"3days3nights","adamretweeter",1,1
"3days3nights","airforcegirlie",1,1
"3days3nights","alicia64141049",1,1
"3days3nights","anabergeron1",1,1
"3days3nights","anncynw",1,1
"3days3nights","atvguy",1,1
"3days3nights","badmammajammaor",1,1
"3days3nights","barefootgirl014",1,1
"3days3nights","bethree",1,1
"3days3nights","bmcalavy",1,1
"3days3nights","bodydoc2002",1,1
"3days3nights","boehmeb",1,1
"3days3nights","brotherblues211",1,1
"3days3nights","chickapea60",1,1
"3days3nights","cinfullicious",1,1
"3days3nights","clfklf",1,1
"3days3nights","cobaltguy1",1,1
"3days3nights","crazyka33831184",1,1
"3days3nights","crista_halloran",1,1
"3days3nights","crookid24",1,1
"3days3nights","cumetalitha",1,1
"3days3nights","dale_leathers",1,1
"3days3nights","daub14b",1,1
"3days3nights","davidg02986909",1,1
"3days3nights","dc37deborah",1,1
"3days3nights","deb_rulez",1,1
"3days3nights","debzieg",1,1
"3days3nights","dec1968",1,1
"3days3nights","dennisriordan4",1,1
"3days3nights","depkristine",1,1
"3days3nights","did51843557",1,1
"3days3nights","dinmadness",1,1
"3days3nights","doranncecil",1,1
"3days3nights","dorisbartek",1,1
"3days3nights","downinthesouth1",1,1
"3days3nights","dtrumpeteer",1,1
"3days3nights","dwooding4",1,1
"3days3nights","eaglemoonlander",1,1
"3days3nights","earthstar12",1,1
"3days3nights","erikondemand",1,1
"3days3nights","faronmorris1",1,1
"3days3nights","finchtucker",1,1
"3days3nights","frenchiesrock",1,1
"3days3nights","gwasirat",1,1
"3days3nights","haffey2020",1,1
"3days3nights","himjody4",1,1
"3days3nights","itbmeang",1,1
"3days3nights","janettevalenti9",1,1
"3days3nights","jeanweb55632322",1,1
"3days3nights","jenzaba73",1,1
"3days3nights","jfoster444",1,1
"3days3nights","jimdwrench",1,1
"3days3nights","jleetxgirl",1,1
"3days3nights","joannemaga1",1,1
"3days3nights","joannetarpon07",1,1
"3days3nights","johntalalotu",1,1
"3days3nights","justbuggin17",1,1
"3days3nights","kewsclues",1,1
"3days3nights","kimberly6379",1,1
"3days3nights","kristy35075504",1,1
"3days3nights","kuhlmanmanette",1,1
"3days3nights","kvilleredeos",1,1
"3days3nights","ladiwaits58",1,1
"3days3nights","lhistorian01",1,1
"3days3nights","lowellsavoy",1,1
"3days3nights","magachronicle",1,1
"3days3nights","magnltd",1,1
"3days3nights","mainline99",1,1
"3days3nights","maragold12",1,1
"3days3nights","marlawqmarlaw",1,1
"3days3nights","massalian10",1,1
"3days3nights","meb888888888",1,1
"3days3nights","mikeandteresa11",1,1
"3days3nights","misswinma",1,1
"3days3nights","mkjkimk",1,1
"3days3nights","mlcmrs",1,1
"3days3nights","mobilememphian1",1,1
"3days3nights","monkey_jerk",1,1
"3days3nights","mountupandride",1,1
"3days3nights","mozziesmom",1,1
"3days3nights","mrboombastick81",1,1
"3days3nights","murfislaw",1,1
"3days3nights","musicinsideher",1,1
"3days3nights","noemiarceortega",1,1
"3days3nights","nolan_thorn",1,1
"3days3nights","norsemaid",1,1
"3days3nights","otrtd_nd",1,1
"3days3nights","pablo_wiley",1,1
"3days3nights","pattiparallax",1,1
"3days3nights","perfectlydopey",1,1
"3days3nights","persistantrn",1,1
"3days3nights","persons_",1,1
"3days3nights","phennomma",1,1
"3days3nights","qoloradowoke",1,1
"3days3nights","qshotkath",1,1
"3days3nights","raddatzkeith",1,1
"3days3nights","ramonacoburn1",1,1
"3days3nights","realksridharan",1,1
"3days3nights","reneecarrollaz",1,1
"3days3nights","russellgduke",1,1
"3days3nights","sadieandmaya",1,1
"3days3nights","schmeezle1",1,1
"3days3nights","sherryandpets",1,1
"3days3nights","silents64263909",1,1
"3days3nights","skiiryne",1,1
"3days3nights","sl_okc",1,1
"3days3nights","snappah1",1,1
"3days3nights","stephstance",1,1
"3days3nights","texfoodie",1,1
"3days3nights","tglain",1,1
"3days3nights","timmc777",1,1
"3days3nights","tmpenny2",1,1
"3days3nights","tmterrific",1,1
"3days3nights","toma34b",1,1
"3days3nights","truecinzia",1,1
"3days3nights","trumplican_68",1,1
"3days3nights","truth_n_writing",1,1
"3days3nights","truthse53556512",1,1
"3days3nights","uscmom92",1,1
"3days3nights","vanharell",1,1
"3days3nights","vikkidavis5",1,1
"3days3nights","wachinunow",1,1
"3days3nights","warriorwithaf",1,1
"3days3nights","wildkrazyblonde",1,1
"3days3nights","william_winkley",1,1
"3days3nights","xenadog",1,1
"3days3nights","xrpbrainstorm",1,1
"3days3nights","yogibear951",1,1
"3days3nights","zaida1212",1,1
"3groter","ern_abart",1,1
"3groter","phemonoee2020",1,1
"411paranormal","maria04407435",1,1
"4freedomssake","mrjtaylor3",1,1
"77omshantiom","kondajji1",1,1
"77omshantiom","muralik79739498",1,1
"77omshantiom","rajendrap1078",1,1
"77omshantiom","roy489",1,1
"77omshantiom","witspunmuse",1,1
"7ru7h_1","rrpathak9",1,1
"7thclouds","7thclouds",1,1
"a_g_moore","a_g_moore",1,1
"a19realtruther","a19realtruther",2,2
"a19realtruther","davhalter",1,1
"a19realtruther","eckart_jayme",1,1
"a19realtruther","kaysalem",1,1
"a19realtruther","mothertruckeer1",1,1
"a19realtruther","rd2leo",1,1
"a19realtruther","richarddwaltma1",1,1
"aapdoctors","_ashmeetsingh",1,1
"aapdoctors","aaphonest",1,1
"aapdoctors","dentistguglani",1,1
"aapdoctors","drnehalvaidya",1,1
"aapdoctors","drnileshpasi",1,1
"aapdoctors","jagmohankausha2",1,1
"aapdoctors","ranjayvishwkar8",1,1
"aapdoctors","rita_blogs",1,1
"aapdoctors","somani2302",1,1
"aapdoctors","sourabhaap",1,1
"aarthikannanpra","kobexkoko",1,1
"aashumiti","drvineetgarg65",1,1
"aawsat_eng","clarinetwoman2",1,1
"abhijitfloyd","sthakur05",1,1
"abhishek1409828","gautamk33959599",1,1
"abhishek1409828","kshmasingh4",1,1
"abhishek1409828","nawleshsingh19",1,1
"abhishek1409828","nirajku02028899",1,1
"abhishek1409828","pankajj57830624",1,1
"abhishek1409828","prernab45119143",1,1
"abhishek1409828","rajeevkumar987",1,1
"abhishek1409828","raunakk84322458",1,1
"abhishek1409828","renusin24885304",1,1
"abhishek1409828","sakariyasaurabh",1,1
"abhishek1409828","singhnavneet363",1,1
"abhishek1409828","theindianacade1",1,1
